Participant.Public.ID,Participant.Private.ID,Spreadsheet..audiofile,Rhythm,Harmony,Trial.Number.x,Display.x,groove,Trial.Number.y,Display.y,pleasure
4omjmnly,10650496,MR1_HH3.mp3,3,4,4,trial,79,2,trial,72
4omjmnly,10650496,MR1_LH3.mp3,3,2,16,trial,100,11,trial,68
4omjmnly,10650496,MR1_MH2.mp3,3,3,13,trial,79,16,trial,33
4omjmnly,10650496,MR1_Oct.mp3,3,1,6,trial,79,8,trial,79
5diapoj8,10519261,HR1_HH3.mp3,4,4,3,trial,8,5,trial,31
5diapoj8,10519261,HR1_LH3.mp3,4,2,11,trial,22,2,trial,20
5diapoj8,10519261,HR1_MH2.mp3,4,3,16,trial,0,7,trial,16
5diapoj8,10519261,HR1_Oct.mp3,4,1,13,trial,8,4,trial,24
5diapoj8,10519261,Iso_HH3.mp3,1,4,15,trial,29,12,trial,16
5diapoj8,10519261,Iso_LH3.mp3,1,2,8,trial,51,13,trial,45
5diapoj8,10519261,Iso_MH2.mp3,1,3,6,trial,29,11,trial,36
5diapoj8,10519261,Iso_Oct.mp3,1,1,7,trial,56,16,trial,39
5diapoj8,10519261,LR3_HH3.mp3,2,4,5,trial,27,9,trial,43
5diapoj8,10519261,LR3_LH3.mp3,2,2,9,trial,62,8,trial,61
5diapoj8,10519261,LR3_MH2.mp3,2,3,1,trial,61,15,trial,41
5diapoj8,10519261,LR3_Oct.mp3,2,1,14,trial,87,1,trial,69
5diapoj8,10519261,MR1_HH3.mp3,3,4,10,trial,40,6,trial,39
5diapoj8,10519261,MR1_LH3.mp3,3,2,12,trial,66,10,trial,64
5diapoj8,10519261,MR1_MH2.mp3,3,3,4,trial,44,3,trial,59
5diapoj8,10519261,MR1_Oct.mp3,3,1,2,trial,65,14,trial,84
5fcrybra,10437313,HR1_HH3.mp3,4,4,13,trial,14,13,trial,56
5fcrybra,10437313,HR1_LH3.mp3,4,2,7,trial,14,5,trial,42
5fcrybra,10437313,HR1_MH2.mp3,4,3,12,trial,68,10,trial,61
5fcrybra,10437313,HR1_Oct.mp3,4,1,2,trial,22,11,trial,62
5fcrybra,10437313,Iso_HH3.mp3,1,4,8,trial,2,6,trial,3
5fcrybra,10437313,Iso_LH3.mp3,1,2,9,trial,74,7,trial,60
5fcrybra,10437313,Iso_MH2.mp3,1,3,14,trial,60,9,trial,6
5fcrybra,10437313,Iso_Oct.mp3,1,1,16,trial,45,12,trial,37
