"Participant.Public.ID","Participant.Private.ID","country","goldmsi1.quantised","goldmsi3.quantised","goldmsi4.quantised","goldmsi7.quantised","goldmsi10.quantised","goldmsi12.quantised","goldmsi14.quantised","goldmsi15.quantised","goldmsi17.quantised","goldmsi19.quantised","goldmsi23.quantised","goldmsi24.quantised","goldmsi25.quantised","goldmsi27.quantised","goldmsi29.quantised","goldmsi32.quantised","goldmsi33.quantised","goldmsi35.quantised","goldmsi36.quantised","goldmsi37.quantised","q01.quantised","q02.quantised","q03.quantised","q04.quantised","q05.quantised","q06.quantised","q07.quantised","q08.quantised","q09.quantised","q10.quantised","q11.quantised","q12.quantised","q13.quantised","q14.quantised","q15.quantised","q16.quantised","q17.quantised","q18.quantised","q19.quantised","q20.quantised"
"qbxr44oo",10620375,"chinese",6,5,2,5,5,6,2,4,2,3,2,5,2,4,5,3,3,1,1,1,4,1,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4
"qk4q910j",10615331,"chinese",6,7,4,5,6,7,6,7,1,6,2,5,1,3,5,3,4,5,4,2,4,2,4,5,2,4,4,5,5,4,3,4,5,4,3,3,4,5,4,5
"qxhhsyze",10757193,"chinese",7,4,6,7,7,5,2,6,2,6,7,6,1,5,6,4,3,1,1,2,4,1,4,5,1,5,5,5,5,5,5,4,4,5,4,5,4,4,5,5
"qyt42jh8",10620789,"chinese",3,2,3,5,4,3,4,3,2,5,6,2,5,7,5,2,2,1,1,1,4,2,5,4,1,4,5,4,5,5,4,4,4,5,5,4,4,4,5,4
"r10r5355",10756100,"chinese",4,5,3,6,5,4,3,5,2,4,3,4,2,5,6,3,5,4,4,3,5,1,4,4,1,4,5,4,4,5,4,5,4,4,5,5,4,5,4,5
"r64q0vy9",10615477,"chinese",5,6,4,5,5,5,6,5,3,6,4,5,6,6,6,2,5,5,5,3,5,2,4,5,1,4,5,5,4,5,4,5,3,4,5,4,4,3,4,4
"r6yvjtr3",10693773,"chinese",5,3,7,6,6,6,1,5,1,6,2,6,3,4,7,2,3,4,4,3,5,1,5,4,1,4,5,4,5,4,5,4,5,4,4,5,4,4,4,4
"rc07cfr4",10615377,"chinese",6,5,7,6,6,6,2,7,1,7,1,5,1,4,7,4,3,6,4,4,4,1,5,5,1,5,4,5,5,4,5,4,5,5,4,5,4,5,5,5
"rdkrptvx",10748464,"chinese",5,4,6,5,5,4,3,4,2,4,3,5,3,5,6,3,5,4,4,3,5,1,5,5,1,4,5,5,4,4,5,4,5,5,4,4,5,5,4,5
"s2hupvg9",10747823,"chinese",7,6,7,7,6,7,1,7,1,7,1,7,1,2,7,2,3,4,4,3,5,1,4,5,1,5,5,4,5,5,5,4,5,4,4,5,4,5,5,5
